state_name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Mississippi,2216994.0,2265000.0,2307000.0,2350000.0,2379000.0,2400000.0,2430000.0,2460000.0,2488000.0,2508000.0,2520770.0,2539032.0,2556776.0,2567719.0,2578053.0,2588103.0,2593596.0,2588545.0,2580349.0,2574272.0,2577426.0,2591230.0,2610193.0,2635574.0,2663450.0,2690788.0,2709925.0,2731826.0,2751335.0,2768619.0,2848310.0,2853313.0,2858643.0,2867678.0,2886006.0,2900116.0,2897150.0,2921723.0,2940212.0,2951996.0,2970536,2978470,2983767,2988797,2990623,2988693,2988298,2989663,2986530
Missouri,4677623.0,4723000.0,4753000.0,4775000.0,4785000.0,4795000.0,4823000.0,4845000.0,4871000.0,4889000.0,4916766.0,4932069.0,4929456.0,4943735.0,4975276.0,5000260.0,5023055.0,5056702.0,5081737.0,5095844.0,5126370.0,5157770.0,5193686.0,5237757.0,5281206.0,5324610.0,5367888.0,5407113.0,5437562.0,5468338.0,5606065.0,5643986.0,5680852.0,5714847.0,5758444.0,5806639.0,5861572.0,5909824.0,5956335.0,5987580.0,5995976,6009641,6024081,6040658,6056293,6071745,6087203,6108612,6126452
Montana,694409.0,711000.0,719000.0,727000.0,737000.0,749000.0,758000.0,771000.0,784000.0,789000.0,786690.0,795325.0,803984.0,814029.0,820904.0,822320.0,813738.0,805064.0,800200.0,799634.0,799824.0,807837.0,822436.0,839876.0,854923.0,868522.0,876656.0,878706.0,879533.0,882779.0,903293.0,905873.0,909868.0,916750.0,925887.0,934801.0,946230.0,957225.0,968035.0,974989.0,990722,997221,1003754,1013564,1021891,1030503,1040863,1053090,1062305
Nebraska,1485333.0,1504000.0,1518000.0,1528000.0,1538000.0,1541000.0,1549000.0,1554000.0,1561000.0,1564000.0,1569825.0,1578517.0,1581776.0,1584293.0,1588638.0,1584661.0,1574328.0,1566544.0,1571477.0,1574858.0,1580664.0,1590805.0,1602406.0,1612149.0,1621551.0,1635142.0,1647657.0,1656042.0,1660772.0,1666028.0,1713345.0,1717948.0,1725083.0,1733680.0,1742184.0,1751721.0,1760435.0,1769912.0,1781949.0,1796619.0,1829536,1840538,1853323,1865414,1879522,1891507,1905924,1917575,1929268
Nevada,488738.0,520000.0,547000.0,569000.0,597000.0,620000.0,647000.0,678000.0,719000.0,765000.0,800508.0,847656.0,881538.0,901978.0,924921.0,951032.0,980614.0,1023374.0,1075023.0,1137382.0,1218629.0,1285046.0,1330694.0,1380197.0,1456388.0,1525777.0,1596476.0,1675581.0,1743772.0,1809253.0,2018211.0,2094509.0,2166214.0,2236949.0,2328703.0,2408804.0,2493405.0,2567752.0,2615772.0,2643085.0,2702464,2712799,2744566,2776972,2819012,2868666,2919772,2972405,3034392
New Hampshire,737681.0,762000.0,782000.0,802000.0,817000.0,830000.0,847000.0,872000.0,894000.0,912000.0,920610.0,936621.0,947720.0,958134.0,976863.0,996753.0,1025054.0,1054289.0,1082576.0,1104523.0,1111831.0,1107055.0,1112766.0,1122191.0,1133054.0,1145604.0,1160768.0,1173239.0,1185823.0,1201134.0,1240446.0,1256879.0,1271163.0,1281871.0,1292766.0,1301415.0,1311894.0,1317343.0,1321872.0,1324575.0,1316777,1319815,1323962,1326408,1333223,1336294,1342373,1349767,1356458
New Jersey,7171112.0,7282000.0,7337000.0,7335000.0,7335000.0,7341000.0,7344000.0,7342000.0,7356000.0,7373000.0,7365011.0,7407471.0,7430970.0,7467784.0,7515474.0,7565530.0,7622161.0,7670741.0,7712333.0,7726086.0,7757158.0,7784269.0,7827770.0,7874891.0,7918796.0,7965523.0,8009624.0,8054178.0,8095542.0,8143412.0,8430921.0,8489469.0,8544115.0,8583481.0,8611530.0,8621837.0,8623721.0,8636043.0,8663398.0,8707739.0,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520
New Mexico,1017055.0,1053000.0,1078000.0,1104000.0,1130000.0,1163000.0,1195000.0,1225000.0,1252000.0,1281000.0,1303303.0,1332747.0,1363822.0,1394362.0,1416719.0,1438360.0,1462728.0,1478519.0,1490336.0,1503901.0,1519933.0,1547115.0,1580750.0,1614937.0,1653329.0,1682417.0,1706151.0,1722939.0,1733535.0,1739844.0,1820813.0,1828809.0,1850035.0,1869683.0,1891829.0,1916538.0,1942608.0,1968731.0,1986763.0,2009671.0,2064588,2080395,2087549,2092792,2090342,2090211,2092789,2093395,2095428
New York,18241391.0,18365000.0,18352000.0,18195000.0,18073000.0,18032000.0,17975000.0,17851000.0,17720000.0,17634000.0,17558165.0,17567731.0,17589737.0,17686907.0,17745676.0,17791678.0,17833421.0,17868844.0,17941309.0,17983084.0,18002855.0,18029532.0,18082032.0,18140894.0,18156652.0,18150928.0,18143805.0,18143184.0,18159175.0,18196601.0,18998044.0,19088978.0,19161873.0,19231101.0,19297933.0,19330891.0,19356564.0,19422777.0,19467789.0,19541453.0,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209
North Carolina,5084411.0,5201000.0,5296000.0,5382000.0,5461000.0,5535000.0,5593000.0,5668000.0,5739000.0,5802000.0,5880096.0,5956653.0,6019108.0,6077059.0,6164004.0,6253957.0,6321576.0,6403693.0,6480591.0,6565462.0,6656987.0,6748135.0,6831850.0,6947412.0,7060959.0,7185403.0,7307658.0,7428672.0,7545828.0,7650789.0,8079383.0,8203451.0,8316617.0,8416451.0,8531283.0,8669452.0,8866977.0,9064074.0,9247134.0,9380884.0,9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620
North Dakota,617792.0,627000.0,631000.0,632000.0,634000.0,638000.0,645000.0,649000.0,651000.0,652000.0,652717.0,659504.0,668972.0,676687.0,680499.0,676979.0,669513.0,661141.0,655330.0,646351.0,637364.0,634199.0,635427.0,637229.0,639762.0,641548.0,642858.0,640945.0,637808.0,633666.0,641200.0,636267.0,633617.0,632809.0,636303.0,635365.0,636771.0,638202.0,641421.0,646844.0,674710,685136,701116,721999,737382,754022,754353,755176,760077
